time,temperature
0,20.0
1,20.0
2,20.0
3,20.0
4,20.0
5,20.0
6,20.0
7,20.0
8,20.0
9,20.0
10,20.0
11,20.0
12,20.0
13,20.0
14,20.0
15,20.0
16,20.0
17,20.0
18,20.0
19,20.0
20,20.0
21,20.0
22,20.0
23,20.0
24,20.0
25,20.0
26,20.0
27,20.0
28,20.0
29,20.0
30,20.0
31,20.0
32,20.0
33,20.0
34,20.0
35,20.0
36,20.0
37,20.0
38,20.0
39,20.0
40,20.0
41,20.0
42,20.0
43,20.0
44,20.0
45,20.0
46,20.0
47,20.0
48,20.0
49,20.0
50,20.0
51,20.0
52,20.0
53,20.0
54,20.0
55,20.0
56,20.0
57,20.0
58,20.0
59,20.0
60,20.0
61,20.0
62,20.0
63,20.0
64,20.0
65,20.0
66,20.0
67,20.0
68,20.0
69,20.0
70,20.0
71,20.0
72,20.0
73,20.0
74,20.0
75,20.0
76,20.0
77,20.0
78,20.0
79,20.0
80,20.0
81,20.0
82,20.0
83,20.0
84,20.0
85,20.0
86,20.0
87,20.0
88,20.0
89,20.0
90,20.0
91,20.0
92,20.0
93,20.0
94,20.0
95,20.0
96,20.0
97,20.0
98,20.0
99,20.0
100,39.9
101,47.0
102,49.4
103,50.8
104,51.9
105,52.8
106,53.7
107,54.5
108,55.2
109,56.0
110,56.7
111,57.4
112,58.1
113,58.7
114,59.4
115,60.1
116,60.7
117,61.4
118,62.0
119,62.7
120,63.3
121,63.9
122,64.5
123,65.2
124,65.8
125,66.4
126,67.0
127,67.6
128,68.1
129,68.7
130,69.3
131,69.9
132,70.4
133,71.0
134,71.5
135,72.1
136,72.6
137,73.2
138,73.7
139,74.2
140,74.7
141,75.2
142,75.7
143,76.2
144,76.7
145,77.2
146,77.7
147,78.1
148,78.6
149,79.0
150,79.5
151,79.9
152,80.4
153,80.8
154,81.2
155,81.6
156,82.1
157,82.5
158,82.9
159,83.3
160,83.7
161,84.0
162,84.4
163,84.8
164,85.2
165,85.5
166,85.9
167,86.2
168,86.6
169,86.9
170,87.2
171,87.5
172,87.9
173,88.2
174,88.5
175,88.8
176,89.1
177,89.4
178,89.7
179,90.0
180,90.2
181,90.5
182,90.8
183,91.0
184,91.3
185,91.6
186,91.8
187,92.0
188,92.3
189,92.5
190,92.8
191,93.0
192,93.2
193,93.4
194,93.6
195,93.9
196,94.1
197,94.3
198,94.5
199,94.7
200,95.6
201,97.2
202,98.7
203,100.2
204,101.7
205,103.1
206,104.5
207,105.9
208,107.2
209,108.5
210,109.7
211,110.9
212,112.1
213,113.3
214,114.4
215,115.5
216,116.6
217,117.6
218,118.6
219,119.6
220,120.6
221,121.5
222,122.5
223,123.4
224,124.3
225,125.1
226,125.9
227,126.8
228,127.5
229,128.3
230,129.1
231,129.8
232,130.5
233,131.2
234,131.9
235,132.6
236,133.2
237,133.8
238,134.4
239,135.0
240,135.6
241,136.2
242,136.7
243,137.3
244,137.8
245,138.3
246,138.8
247,139.3
248,139.8
249,140.2
250,140.7
251,141.1
252,141.5
253,141.9
254,142.3
255,142.7
256,143.1
257,143.5
258,143.8
259,144.2
260,144.5
261,144.8
262,145.2
263,145.5
264,145.8
265,146.1
266,146.4
267,146.7
268,146.9
269,147.2
270,147.5
271,147.7
272,148.0
273,148.2
274,148.5
275,148.7
276,148.9
277,149.2
278,149.4
279,149.6
280,149.8
281,150.0
282,150.2
283,150.4
284,150.6
285,150.8
286,151.0
287,151.1
288,151.3
289,151.5
290,151.6
291,151.8
292,152.0
293,152.1
294,152.3
295,152.4
296,152.6
297,152.7
298,152.9
299,153.0
300,153.1
301,153.3
302,153.4
303,153.5
304,153.7
305,153.8
306,153.9
307,154.0
308,154.1
309,154.3
310,154.4
311,154.5
312,154.6
313,154.7
314,154.8
315,154.9
316,155.0
317,155.1
