s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_GEOM,Q_ENTH,Q_TOTAL,BURN_RATE
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 8.0000001E-001, 0.0000000E+000, 3.6908342E-006,-3.7106073E-006, 7.3997913E-009, 1.3985980E-019, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.2373343E-008, 8.2172520E-022
 1.6000000E+000, 0.0000000E+000, 1.7045134E-005,-1.7097221E-005,-3.6501306E-008, 7.0641353E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.2737368E-015,-8.8588777E-008, 3.8626867E-020
 2.4100001E+000, 0.0000000E+000, 2.9635876E-005,-2.9684160E-005,-1.4029772E-007, 1.9469062E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.2456659E-015,-1.8858207E-007, 1.0060971E-018
 3.2100000E+000, 0.0000000E+000, 4.2521120E-005,-4.2534855E-005,-2.9731662E-007, 2.8650026E-015, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.2737368E-015,-3.1105145E-007, 1.4085928E-017
 4.0100002E+000, 0.0000000E+000, 5.5651765E-005,-5.5608929E-005,-4.8575260E-007, 2.7339516E-014, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.5474735E-015,-4.4291665E-007, 1.2843763E-016
 4.8099999E+000, 0.0000000E+000, 6.9095607E-005,-6.8957979E-005,-7.3533965E-007, 1.9101887E-013, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.6379788E-014,-5.9771101E-007, 8.6090445E-016
 5.6100001E+000, 0.0000000E+000, 8.2841380E-005,-8.2558551E-005,-1.0661260E-006, 1.0320907E-012, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.0008883E-013,-7.8329647E-007, 4.5568687E-015
 6.4099998E+000, 0.0000000E+000, 9.6895560E-005,-9.6410963E-005,-1.4866803E-006, 4.6710018E-012, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.7993612E-013,-1.0020784E-006, 2.0005356E-014
 7.2100000E+000, 0.0000000E+000, 1.1123446E-004,-1.1052956E-004,-1.9184411E-006, 1.8121285E-011, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.3196557E-012,-1.2135237E-006, 7.5452291E-014
 8.0100002E+000, 0.0000000E+000, 1.2584066E-004,-1.2477254E-004,-2.6090146E-006, 6.0613539E-011, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1059456E-011,-1.5408358E-006, 2.5094635E-013
 8.8100004E+000, 0.0000000E+000, 1.4071883E-004,-1.3900921E-004,-3.8277726E-006, 1.6369045E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.3132892E-011,-2.1179928E-006, 7.5079427E-013
 9.6099997E+000, 0.0000000E+000, 1.5584320E-004,-1.5354073E-004,-4.9183105E-006, 3.4923617E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.0658432E-011,-2.6154861E-006, 2.0523229E-012
 1.0410000E+001, 0.0000000E+000, 1.7119585E-004,-1.6834632E-004,-5.8852490E-006, 8.0476761E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.2945414E-010,-3.0349151E-006, 5.1895558E-012
 1.1210000E+001, 0.0000000E+000, 1.8678230E-004,-1.8350751E-004,-6.5806115E-006, 1.8686275E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.4258180E-010,-3.3039517E-006, 1.2260933E-011
 1.2010000E+001, 0.0000000E+000, 2.0257653E-004,-1.9885144E-004,-7.3000669E-006, 4.1236985E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2085616E-009,-3.5708558E-006, 2.7289445E-011
 1.2810000E+001, 0.0000000E+000, 2.1856110E-004,-2.1437202E-004,-8.0312201E-006, 8.7450133E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.5532313E-009,-3.8333896E-006, 5.7611458E-011
 1.3610000E+001, 0.0000000E+000, 2.3474329E-004,-2.3010299E-004,-8.7365190E-006, 1.7986641E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.1453731E-009,-4.0782326E-006, 1.1602626E-010
 1.4410000E+001, 0.0000000E+000, 2.5109786E-004,-2.4604305E-004,-9.3916984E-006, 3.6157925E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.9396152E-009,-4.3007340E-006, 2.2400034E-010
 1.5210000E+001, 0.0000000E+000, 2.6760958E-004,-2.6210782E-004,-1.0163347E-005, 7.1422935E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.8482212E-008,-4.5901568E-006, 4.1628620E-010
 1.6010000E+001, 0.0000000E+000, 2.8428647E-004,-2.7834201E-004,-1.1024749E-005, 1.3899951E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.3199265E-008,-4.9412884E-006, 7.4738236E-010
 1.6809999E+001, 0.0000000E+000, 3.0110363E-004,-2.9475362E-004,-1.1976512E-005, 2.6526515E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.7788779E-008,-5.3612336E-006, 1.3003253E-009
 1.7610001E+001, 0.0000000E+000, 3.1804623E-004,-3.1079549E-004,-1.4168086E-005, 4.2289285E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.8182087E-006,-6.4944553E-006, 2.1983623E-009
 1.8400000E+001, 0.0000000E+000, 3.3502801E-004,-3.2724300E-004,-1.6002337E-005, 6.6726578E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.6059951E-007,-7.5500646E-006, 3.6083203E-009
 1.9200001E+001, 0.0000000E+000, 3.5212599E-004,-3.4357368E-004,-1.8855894E-005, 1.0943632E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.5754105E-007,-9.2092236E-006, 5.7851727E-009
 2.0000000E+001, 0.0000000E+000, 3.6944772E-004,-3.5991692E-004,-2.2925928E-005, 1.8394164E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.0496661E-007,-1.1555709E-005, 9.0958601E-009
 2.0799999E+001, 0.0000000E+000, 3.8689829E-004,-3.7720801E-004,-2.6488441E-005, 3.0554293E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.2364290E-007,-1.3742732E-005, 1.4008309E-008
 2.1600000E+001, 0.0000000E+000, 4.0448509E-004,-3.9436139E-004,-3.2161585E-005, 4.7549133E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.4188052E-007,-1.7282972E-005, 2.1163578E-008
 2.2400000E+001, 0.0000000E+000, 4.2219348E-004,-4.1327200E-004,-3.6711254E-005, 7.1241420E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.3968469E-006,-2.0665633E-005, 3.1407563E-008
 2.3200001E+001, 0.0000000E+000, 4.4008916E-004,-4.3359289E-004,-4.1744826E-005, 1.0049475E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.0365482E-006,-2.5199077E-005, 4.5839843E-008
 2.4000000E+001, 0.0000000E+000, 4.5813759E-004,-4.5775081E-004,-4.3386826E-005, 1.4016624E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.9232574E-006,-2.8983426E-005, 6.5869803E-008
 2.4799999E+001, 0.0000000E+000, 4.7645595E-004,-4.8513901E-004,-4.4324506E-005, 1.9332742E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.1380971E-006,-3.3674825E-005, 9.3280106E-008
 2.5600000E+001, 0.0000000E+000, 4.9496721E-004,-5.1580599E-004,-4.5860670E-005, 2.5877331E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.7812619E-006,-4.0822118E-005, 1.3029733E-007
 2.6400000E+001, 0.0000000E+000, 5.1386912E-004,-5.5027078E-004,-4.9250410E-005, 3.3750276E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.9753929E-006,-5.1901792E-005, 1.7966924E-007
 2.7200001E+001, 0.0000000E+000, 5.3308219E-004,-5.9390786E-004,-4.5887695E-005, 4.3584428E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.9555523E-006,-6.3128936E-005, 2.4474752E-007
 2.8000000E+001, 0.0000000E+000, 5.5284565E-004,-6.4475997E-004,-4.2947361E-005, 5.3988439E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.4648610E-005,-8.0873238E-005, 3.2957462E-007
 2.8799999E+001, 0.0000000E+000, 5.7318567E-004,-7.0299422E-004,-4.3242142E-005, 6.2113470E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.9534769E-005,-1.1093723E-004, 4.3897187E-007
 2.9600000E+001, 0.0000000E+000, 5.9424986E-004,-7.7198001E-004,-4.3669943E-005, 6.5132212E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.5768795E-005,-1.5626788E-004, 5.7862596E-007
 3.0400000E+001, 0.0000000E+000, 6.1637287E-004,-8.5399270E-004,-4.3649539E-005, 5.8709568E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.7730303E-005,-2.2255980E-004, 7.5516892E-007
 3.1200001E+001, 0.0000000E+000, 6.3946312E-004,-9.5033216E-004,-4.3578888E-005, 3.2207296E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.3491861E-005,-3.2224063E-004, 9.7624605E-007
 3.2000000E+001, 0.0000000E+000, 6.6396587E-004,-1.0624248E-003,-4.5301653E-005,-2.9857018E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.9968935E-005,-4.7361760E-004, 1.2505644E-006
 3.2799999E+001, 0.0000000E+000, 6.9009085E-004,-1.1950463E-003,-4.7714804E-005,-1.4328906E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.0547913E-005,-6.9595927E-004, 1.5879132E-006
 3.3599998E+001, 0.0000000E+000, 7.1750120E-004,-1.3545757E-003,-5.0566597E-005,-3.3460336E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.8375450E-005,-1.0222444E-003, 1.9991453E-006
 3.4400002E+001, 0.0000000E+000, 7.4676774E-004,-1.5470083E-003,-5.5874537E-005,-6.5237241E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0310272E-004,-1.5084875E-003, 2.4961098E-006
 3.5200001E+001, 0.0000000E+000, 7.7618122E-004,-1.7789724E-003,-6.2673944E-005,-1.1165530E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2417140E-004,-2.1820181E-003, 3.0915222E-006
 3.6000000E+001, 0.0000000E+000, 8.0526218E-004,-2.0548845E-003,-7.2210015E-005,-1.8128633E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.4956664E-004,-3.1346956E-003, 3.7987619E-006
 3.6799999E+001, 0.0000000E+000, 8.3448851E-004,-2.3800633E-003,-8.3504018E-005,-2.6289060E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.5867834E-004,-4.2579848E-003, 4.6315874E-006
 3.7599998E+001, 0.0000000E+000, 8.6348432E-004,-2.7581494E-003,-9.7599189E-005,-3.7315475E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.9051410E-004,-5.7238117E-003, 5.6037640E-006
 3.8400002E+001, 0.0000000E+000, 8.9283734E-004,-3.1907222E-003,-1.1998408E-004,-5.1916467E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.0655067E-004,-7.6095156E-003, 6.7286040E-006
 3.9200001E+001, 0.0000000E+000, 9.2232239E-004,-3.6810671E-003,-1.4877640E-004,-7.0928012E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.1537488E-004,-1.0000322E-002, 8.0184300E-006
 4.0000000E+001, 0.0000000E+000, 9.5200513E-004,-4.2211064E-003,-1.9395260E-004,-1.0302050E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.4314059E-004,-1.3765104E-002, 9.4839801E-006
 4.0799999E+001, 0.0000000E+000, 9.8250518E-004,-4.8155066E-003,-2.4404714E-004,-1.2740168E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.6367257E-004,-1.6817216E-002, 1.1133787E-005
 4.1599998E+001, 0.0000000E+000, 1.0134510E-003,-5.4775056E-003,-2.9279622E-004,-1.5682476E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.9338015E-004,-2.0439327E-002, 1.2973573E-005
 4.2400002E+001, 0.0000000E+000, 1.0445645E-003,-6.2414095E-003,-3.0460950E-004,-1.4789746E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.0476854E-004,-2.0291201E-002, 1.5005709E-005
 4.3200001E+001, 0.0000000E+000, 1.0751158E-003,-7.0256958E-003,-3.9513155E-004,-1.8591112E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.2909028E-004,-2.4936824E-002, 1.7228794E-005
 4.4009998E+001, 0.0000000E+000, 1.1049939E-003,-7.8568432E-003,-5.0292324E-004,-2.2803183E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.3809263E-004,-3.0057956E-002, 1.9653213E-005
 4.4810001E+001, 0.0000000E+000, 1.1333450E-003,-8.7105895E-003,-5.9805347E-004,-2.7283551E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.4808868E-004,-3.5458849E-002, 2.2255442E-005
 4.5610001E+001, 0.0000000E+000, 1.1599120E-003,-9.5526572E-003,-6.6394487E-004,-3.1520658E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.3513728E-004,-4.0577348E-002, 2.5004745E-005
 4.6410000E+001, 0.0000000E+000, 1.1854035E-003,-1.0268505E-002,-7.9744222E-004,-3.7582855E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.3997252E-004,-4.7463399E-002, 2.7899729E-005
 4.7209999E+001, 0.0000000E+000, 1.2090735E-003,-1.0830630E-002,-9.3950883E-004,-4.3125405E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.3621328E-004,-5.3686470E-002, 3.0920737E-005
 4.8009998E+001, 0.0000000E+000, 1.2310316E-003,-1.1234325E-002,-1.1484642E-003,-4.9252722E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.2260839E-004,-6.0404480E-002, 3.4046056E-005
 4.8810001E+001, 0.0000000E+000, 1.2514124E-003,-1.1934240E-002,-1.2447392E-003,-4.5592056E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.1945540E-004,-5.7519622E-002, 3.7252763E-005
 4.9610001E+001, 0.0000000E+000, 1.2706797E-003,-1.3156107E-002,-1.5470294E-003,-5.3093401E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.9190469E-004,-6.6525858E-002, 4.0517581E-005
 5.0410000E+001, 0.0000000E+000, 1.2901214E-003,-1.4581880E-002,-1.8931562E-003,-6.2084888E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.0478959E-004,-7.7269802E-002, 4.3817681E-005
