s,C,kg/m2/s,m
Time,"temp","MLR","thick"
 0.0000000E+000, 2.0000000E+001, 0.0000000E+000, 1.8500000E-002
 5.0100000E+000, 7.9984222E+001, 4.4466296E-014, 1.8500000E-002
 1.0010000E+001, 1.5464395E+002, 1.2623130E-010, 1.8500000E-002
 1.5010000E+001, 2.0511116E+002, 1.5537175E-008, 1.8500000E-002
 2.0000000E+001, 2.4475017E+002, 4.3964602E-007, 1.8500000E-002
 2.5000000E+001, 2.7757635E+002, 5.3204767E-006, 1.8499989E-002
 3.0000000E+001, 3.0551184E+002, 3.6986461E-005, 1.8499913E-002
 3.5000000E+001, 3.2952515E+002, 1.7322561E-004, 1.8499499E-002
 4.0000000E+001, 3.4999448E+002, 5.9447938E-004, 1.8497908E-002
 4.5010000E+001, 3.6677249E+002, 1.5492501E-003, 1.8493267E-002
 5.0010000E+001, 3.7951489E+002, 3.1147576E-003, 1.8482851E-002
 5.5010000E+001, 3.8841495E+002, 5.0041676E-003, 1.8464431E-002
 6.0010000E+001, 3.9437979E+002, 6.8196161E-003, 1.8437468E-002
 6.5010000E+001, 3.9843884E+002, 8.3596241E-003, 1.8402847E-002
 7.0010000E+001, 4.0133682E+002, 9.6096043E-003, 1.8361900E-002
 7.5000000E+001, 4.0020642E+002, 1.0172022E-002, 1.8317020E-002
 8.0000000E+001, 4.0259723E+002, 1.1280399E-002, 1.8268196E-002
 8.5000000E+001, 4.0447302E+002, 1.2087154E-002, 1.8215002E-002
 9.0000000E+001, 4.0597693E+002, 1.2727669E-002, 1.8158553E-002
 9.5000000E+001, 4.0721585E+002, 1.3258585E-002, 1.8099457E-002
 1.0000000E+002, 4.0554459E+002, 1.3447235E-002, 1.8038558E-002
 1.0500000E+002, 4.0575113E+002, 1.3889523E-002, 1.7976660E-002
 1.1000000E+002, 4.0714685E+002, 1.4380602E-002, 1.7912354E-002
 1.1500000E+002, 4.0829712E+002, 1.4762489E-002, 1.7846087E-002
 1.2000000E+002, 4.0822852E+002, 1.4964242E-002, 1.7778315E-002
 1.2500000E+002, 4.0655048E+002, 1.5047828E-002, 1.7710382E-002
 1.3000000E+002, 4.0792746E+002, 1.5487674E-002, 1.7640922E-002
 1.3500000E+002, 4.0905508E+002, 1.5803996E-002, 1.7569771E-002
 1.4000000E+002, 4.0927484E+002, 1.5971208E-002, 1.7497381E-002
 1.4500000E+002, 4.0730576E+002, 1.5948605E-002, 1.7425086E-002
 1.5000000E+002, 4.0865210E+002, 1.6351895E-002, 1.7351616E-002
 1.5500000E+002, 4.0975183E+002, 1.6629472E-002, 1.7276622E-002
 1.6001000E+002, 4.0945053E+002, 1.6697899E-002, 1.7200563E-002
 1.6501000E+002, 4.0812830E+002, 1.6749525E-002, 1.7124791E-002
 1.7001000E+002, 4.0942508E+002, 1.7114306E-002, 1.7047765E-002
 1.7501000E+002, 4.1047711E+002, 1.7361963E-002, 1.6969379E-002
 1.8001000E+002, 4.0913113E+002, 1.7296968E-002, 1.6890392E-002
 1.8501000E+002, 4.0905545E+002, 1.7529225E-002, 1.6811525E-002
 1.9001000E+002, 4.1026981E+002, 1.7846005E-002, 1.6731074E-002
 1.9501000E+002, 4.1108862E+002, 1.8049542E-002, 1.6649425E-002
 2.0001000E+002, 4.0871841E+002, 1.7905200E-002, 1.6567865E-002
 2.0501000E+002, 4.1007785E+002, 1.8316576E-002, 1.6485481E-002
 2.1001000E+002, 4.1118863E+002, 1.8588690E-002, 1.6401568E-002
 2.1501000E+002, 4.1004175E+002, 1.8545549E-002, 1.6316945E-002
 2.2001000E+002, 4.0993478E+002, 1.8790204E-002, 1.6232388E-002
 2.2501000E+002, 4.1116467E+002, 1.9126844E-002, 1.6146157E-002
 2.3001000E+002, 4.1127039E+002, 1.9247821E-002, 1.6058713E-002
 2.3501000E+002, 4.0988797E+002, 1.9294018E-002, 1.5971437E-002
 2.4001000E+002, 4.1121841E+002, 1.9702708E-002, 1.5882732E-002
 2.4501000E+002, 4.1219580E+002, 1.9969245E-002, 1.5792510E-002
