alpha,beta
0.142534325,0.165999166
0.067306662,0.069997328
0.081671579,0.095169019
0.061655451,0.059537059
0.066412607,0.074662496
0.061861808,0.064276331
0.049067127,0.050340581
0.067927463,0.069108762
0.053676111,0.05567125
0.110007464,0.126338895
0.161851234,0.202413466
0.117408457,0.12639382
0.203740206,0.236497954
0.046020421,0.049896472
0.138073075,0.194469035
0.06448206,0.068848489
0.064236856,0.067099557
0.044722404,0.045876341
0.05715434,0.074304421
0.038277337,0.052686517
0.067465636,0.08203797
1.26E-29,224.0586516
0.075440149,0.080654633
0.210715207,0.275719396
0.078407561,0.087972523
0.170266472,0.195083656
0.112707956,0.185004653
0.100323271,0.121043897
0.116663404,0.120549858
0.115421767,0.132117133
0.446758963,0.5625121
0.437544867,0.562901826
0.277111946,0.347407793
0.286192001,0.384121457
0.568828973,0.741264475
0.503255583,0.759896813
0.668770992,0.935146481
0.385336243,0.47690661
0.574653816,0.729567635
0.338741712,0.458316993
0.424091337,0.532802149
0.248905385,0.34159515
0.404345077,0.502531132
0.290986645,0.410257517
0.362416405,0.60378651
0.417536108,0.825621525
0.404523514,0.694059285
0.219393751,0.321680731
0.274610182,0.35050523
0.030692311,0.042620708
0.044804484,0.049138187
0.033626606,0.059485328
0.400174023,0.546026062
0.374583804,0.864736737
0.623179064,1.038935196
0.026106111,0.001
0.149548906,0.494386701
0.144667659,0.181376495
0.539442157,0.824840356
0.322445234,0.531910365
0.099650363,0.107979652
0.126998728,0.159316377
0.126056002,0.134433461
0.117076011,0.127445905
0.098364019,0.116911558
0.146288815,0.156008286
0.120851532,0.125573382
0.141674465,0.146847256
0.118018383,0.121171967
0.098384197,0.110247419
0.052700623,0.074367786
0.085669985,0.086904939
0.093295245,0.097254909
0.083232956,0.088401509
0.104525361,0.116084176
0.095082196,0.100850443
0.067030081,0.070060473
0.115323785,0.120718784
0.107012632,0.109171105
0.06682662,0.092251236
0.031637265,0.035453887
0.38317367,4.649280976
0.15451437,0.196159312
0.098880547,0.102751
0.126494395,0.198404092
0.269110861,0.562598722
0.054089234,0.074239494
0.036423646,0.052461386
0.064665003,0.076607715
0.127338451,0.145266328
