s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_GEOM,Q_ENTH,Q_TOTAL,BURN_RATE
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 8.0000001E-001, 0.0000000E+000, 3.9659958E-006,-3.9867865E-006, 7.2756404E-009, 1.8099189E-019, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.3515004E-008, 1.0560758E-021
 1.6000000E+000, 0.0000000E+000, 1.8143394E-005,-1.8198015E-005,-3.9902332E-008, 1.1861376E-017, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.4523345E-008, 6.4253114E-020
 2.4100001E+000, 0.0000000E+000, 3.1275579E-005,-3.1325708E-005,-1.4873359E-007, 3.5121892E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.9886257E-007, 1.7949628E-018
 3.2100000E+000, 0.0000000E+000, 4.4564352E-005,-4.4575248E-005,-3.1702268E-007, 5.2654930E-015, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.2737368E-015,-3.2791906E-007, 2.5575890E-017
 4.0100002E+000, 0.0000000E+000, 5.7992077E-005,-5.7943845E-005,-5.1103509E-007, 5.0011566E-014, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.0949470E-015,-4.6280289E-007, 2.3195691E-016
 4.8099999E+000, 0.0000000E+000, 7.1646946E-005,-7.1494300E-005,-7.7866593E-007, 3.4132818E-013, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.5938366E-014,-6.2601985E-007, 1.5288857E-015
 5.6100001E+000, 0.0000000E+000, 8.5528623E-005,-8.5223318E-005,-1.1219547E-006, 1.8151135E-012, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.4788172E-013,-8.1664717E-007, 7.9114623E-015
 6.4099998E+000, 0.0000000E+000, 9.9651004E-005,-9.9138880E-005,-1.5489870E-006, 8.0085908E-012, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.4870238E-012,-1.0368545E-006, 3.3858264E-014
 7.2100000E+000, 0.0000000E+000, 1.1399548E-004,-1.1324971E-004,-2.0027307E-006, 3.0238404E-011, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.4728844E-012,-1.2569290E-006, 1.2433679E-013
 8.0100002E+000, 0.0000000E+000, 1.2854865E-004,-1.2736024E-004,-2.8469286E-006, 9.5310715E-011, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.7746515E-011,-1.6584220E-006, 4.0254399E-013
 8.8100004E+000, 0.0000000E+000, 1.4331824E-004,-1.4154789E-004,-3.9409431E-006, 2.5790388E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.1766165E-011,-2.1703366E-006, 1.1727283E-012
 9.6099997E+000, 0.0000000E+000, 1.5828108E-004,-1.5586840E-004,-5.1233290E-006, 5.0783054E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.3802492E-010,-2.7101364E-006, 3.1235276E-012
 1.0410000E+001, 0.0000000E+000, 1.7342157E-004,-1.7048509E-004,-6.0372910E-006, 1.1834559E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.4065351E-010,-3.0996323E-006, 7.7021390E-012
 1.1210000E+001, 0.0000000E+000, 1.8874691E-004,-1.8540824E-004,-6.6810954E-006, 2.6727050E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.8623543E-010,-3.3397512E-006, 1.7761755E-011
 1.2010000E+001, 0.0000000E+000, 2.0423302E-004,-2.0044121E-004,-7.4022665E-006, 5.7467230E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.7110074E-009,-3.6047044E-006, 3.8623879E-011
 1.2810000E+001, 0.0000000E+000, 2.1986426E-004,-2.1555514E-004,-8.2402321E-006, 1.1896500E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.5349558E-009,-3.9192144E-006, 7.9742500E-011
 1.3610000E+001, 0.0000000E+000, 2.3564900E-004,-2.3098703E-004,-8.7562991E-006, 2.3947318E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.9733755E-009,-4.0703755E-006, 1.5720716E-010
 1.4410000E+001, 0.0000000E+000, 2.5156452E-004,-2.4642073E-004,-9.5616466E-006, 4.7227299E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.3198630E-008,-4.3706292E-006, 2.9737451E-010
 1.5210000E+001, 0.0000000E+000, 2.6759592E-004,-2.6206247E-004,-1.0248971E-005, 9.1738006E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.4067790E-008,-4.6237843E-006, 5.4197044E-010
 1.6010000E+001, 0.0000000E+000, 2.8375240E-004,-2.7777843E-004,-1.1156655E-005, 1.7588132E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.2433321E-008,-5.0068019E-006, 9.5505460E-010
 1.6809999E+001, 0.0000000E+000, 3.0001090E-004,-2.9367661E-004,-1.2097948E-005, 3.1485261E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.2553664E-008,-5.4488146E-006, 1.6322827E-009
 1.7610001E+001, 0.0000000E+000, 3.1636061E-004,-3.0904821E-004,-1.4562993E-005, 4.7441024E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.7951289E-006,-6.7761799E-006, 2.7129367E-009
 1.8400000E+001, 0.0000000E+000, 3.3271853E-004,-3.2511089E-004,-1.6093619E-005, 7.6039285E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.9503433E-007,-7.7255904E-006, 4.3814148E-009
 1.9200001E+001, 0.0000000E+000, 3.4915598E-004,-3.4066841E-004,-1.9413027E-005, 1.2439865E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.0793532E-007,-9.6814711E-006, 6.9164523E-009
 2.0000000E+001, 0.0000000E+000, 3.6578420E-004,-3.5651134E-004,-2.3430035E-005, 2.0876566E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.7701160E-007,-1.2069518E-005, 1.0713263E-008
 2.0799999E+001, 0.0000000E+000, 3.8251827E-004,-3.7338994E-004,-2.6832571E-005, 3.4380795E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.2411819E-007,-1.4266167E-005, 1.6264829E-008
 2.1600000E+001, 0.0000000E+000, 3.9934460E-004,-3.9000934E-004,-3.2630101E-005, 5.2935540E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0786572E-006,-1.8001282E-005, 2.4238134E-008
 2.2400000E+001, 0.0000000E+000, 4.1628729E-004,-4.0868395E-004,-3.6856627E-005, 7.7688331E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.5786352E-006,-2.1484459E-005, 3.5500750E-008
 2.3200001E+001, 0.0000000E+000, 4.3337557E-004,-4.2868469E-004,-4.1822809E-005, 1.0767321E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.2725554E-006,-2.6364614E-005, 5.1165093E-008
 2.4000000E+001, 0.0000000E+000, 4.5060544E-004,-4.5241373E-004,-4.3767285E-005, 1.4840482E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.2233069E-006,-3.0735095E-005, 7.2638439E-008
 2.4799999E+001, 0.0000000E+000, 4.6807699E-004,-4.7985076E-004,-4.4154876E-005, 2.0230701E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.5107744E-006,-3.5697937E-005, 1.0167861E-007
 2.5600000E+001, 0.0000000E+000, 4.8572113E-004,-5.1036951E-004,-4.5627249E-005, 2.6632755E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.2321833E-006,-4.3642876E-005, 1.4045495E-007
 2.6400000E+001, 0.0000000E+000, 5.0372979E-004,-5.4517305E-004,-4.7974551E-005, 3.4235622E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.5055422E-006,-5.5182180E-005, 1.9161392E-007
 2.7200001E+001, 0.0000000E+000, 5.2204439E-004,-5.8835987E-004,-4.5087780E-005, 4.3245504E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1472669E-005,-6.8157757E-005, 2.5834825E-007
 2.8000000E+001, 0.0000000E+000, 5.4082857E-004,-6.3886553E-004,-4.2035040E-005, 5.2282321E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.3990941E-006,-8.7789675E-005, 3.4446805E-007
 2.8799999E+001, 0.0000000E+000, 5.6024414E-004,-6.9630943E-004,-4.2783462E-005, 5.8140007E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.0225272E-005,-1.2070874E-004, 4.5447169E-007
 2.9600000E+001, 0.0000000E+000, 5.8024175E-004,-7.6486485E-004,-4.1929531E-005, 5.7676885E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.6433417E-005,-1.6887575E-004, 5.9361355E-007
 3.0400000E+001, 0.0000000E+000, 6.0126057E-004,-8.4448497E-004,-4.3364552E-005, 4.4529529E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.8293263E-005,-2.4205943E-004, 7.6796488E-007
 3.1200001E+001, 0.0000000E+000, 6.2318664E-004,-9.3841232E-004,-4.3207411E-005, 1.0502216E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.3838596E-005,-3.4793087E-004, 9.8446293E-007
 3.2000000E+001, 0.0000000E+000, 6.4632101E-004,-1.0471368E-003,-4.4751588E-005,-6.0808561E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.9944242E-005,-5.0637590E-004, 1.2509427E-006
 3.2799999E+001, 0.0000000E+000, 6.7096368E-004,-1.1755969E-003,-4.6791583E-005,-1.8823335E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.9928887E-005,-7.3965811E-004, 1.5761441E-006
 3.3599998E+001, 0.0000000E+000, 6.9664147E-004,-1.3288919E-003,-5.0303325E-005,-3.9862534E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.6882662E-005,-1.0811791E-003, 1.9696873E-006
 3.4400002E+001, 0.0000000E+000, 7.2395412E-004,-1.5142957E-003,-5.4287226E-005,-7.1052578E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0005762E-004,-1.5551545E-003, 2.4420075E-006
 3.5200001E+001, 0.0000000E+000, 7.5140768E-004,-1.7355063E-003,-6.1901539E-005,-1.2153927E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1896550E-004,-2.2613928E-003, 3.0042397E-006
 3.6000000E+001, 0.0000000E+000, 7.7848121E-004,-1.9975290E-003,-7.0890401E-005,-1.8616041E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.4231852E-004,-3.1515422E-003, 3.6680467E-006
 3.6799999E+001, 0.0000000E+000, 8.0573265E-004,-2.3039734E-003,-8.2512015E-005,-2.7162427E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.4939818E-004,-4.2969955E-003, 4.4453831E-006
 3.7599998E+001, 0.0000000E+000, 8.3268006E-004,-2.6585229E-003,-9.5714896E-005,-3.7383768E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.7932358E-004,-5.6599346E-003, 5.3481915E-006
 3.8400002E+001, 0.0000000E+000, 8.5984799E-004,-3.0633077E-003,-1.1485643E-004,-5.0822145E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.9357269E-004,-7.4005306E-003, 6.3880330E-006
 3.9200001E+001, 0.0000000E+000, 8.8719580E-004,-3.5184601E-003,-1.4320727E-004,-7.0593310E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.0086837E-004,-9.8338025E-003, 7.5756575E-006
 4.0000000E+001, 0.0000000E+000, 9.1461638E-004,-4.0187221E-003,-1.8588288E-004,-9.9929939E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.3196464E-004,-1.3282982E-002, 8.9205302E-006
 4.0799999E+001, 0.0000000E+000, 9.4283541E-004,-4.5688544E-003,-2.3254671E-004,-1.2252059E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.4576521E-004,-1.6110624E-002, 1.0430336E-005
 4.1599998E+001, 0.0000000E+000, 9.7156295E-004,-5.1816828E-003,-2.7756375E-004,-1.5048985E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.8506508E-004,-1.9536669E-002, 1.2110490E-005
 4.2400002E+001, 0.0000000E+000, 1.0005632E-003,-5.8879151E-003,-2.8684767E-004,-1.4150232E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.8865863E-004,-1.9324432E-002, 1.3963697E-005
 4.3200001E+001, 0.0000000E+000, 1.0289192E-003,-6.6169312E-003,-3.6713906E-004,-1.7477778E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.9471069E-004,-2.3432929E-002, 1.5989589E-005
 4.4009998E+001, 0.0000000E+000, 1.0566904E-003,-7.3887887E-003,-4.6764788E-004,-2.1493213E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.2152255E-004,-2.8292959E-002, 1.8198894E-005
 4.4810001E+001, 0.0000000E+000, 1.0832369E-003,-8.1808875E-003,-5.6742786E-004,-2.6847251E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.2090619E-004,-3.4512329E-002, 2.0571770E-005
 4.5610001E+001, 0.0000000E+000, 1.1080784E-003,-8.9882495E-003,-6.1418818E-004,-2.9681024E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.1899596E-004,-3.8175383E-002, 2.3081995E-005
 4.6410000E+001, 0.0000000E+000, 1.1317386E-003,-9.6873071E-003,-7.3333662E-004,-3.4880221E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.1529793E-004,-4.4169126E-002, 2.5730208E-005
 4.7209999E+001, 0.0000000E+000, 1.1540418E-003,-1.0271521E-002,-8.5771702E-004,-4.0510012E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.1645367E-004,-5.0485208E-002, 2.8500378E-005
 4.8009998E+001, 0.0000000E+000, 1.1747261E-003,-1.0688708E-002,-1.0673719E-003,-4.7658694E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.0831734E-004,-5.8240048E-002, 3.1374444E-005
 4.8810001E+001, 0.0000000E+000, 1.1940304E-003,-1.1280390E-002,-1.1433455E-003,-4.4590549E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.9233793E-004,-5.5820254E-002, 3.4332971E-005
 4.9610001E+001, 0.0000000E+000, 1.2122294E-003,-1.2268966E-002,-1.3912311E-003,-4.9662722E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.9553019E-004,-6.2110690E-002, 3.7355823E-005
 5.0410000E+001, 0.0000000E+000, 1.2302959E-003,-1.3558603E-002,-1.7133357E-003,-5.8173723E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.7498680E-004,-7.2215366E-002, 4.0422845E-005
