s,C,kg/m2/s,m
Time,"temp","MLR","thick"
 0.0000000E+000, 2.0000000E+001, 0.0000000E+000, 1.8500000E-002
 5.0100000E+000, 7.6935654E+001, 2.5095101E-014, 1.8500000E-002
 1.0010000E+001, 1.5046916E+002, 8.2827391E-011, 1.8500000E-002
 1.5010000E+001, 2.0124857E+002, 1.1649841E-008, 1.8500000E-002
 2.0000000E+001, 2.4146080E+002, 3.6583319E-007, 1.8500000E-002
 2.5000000E+001, 2.7492038E+002, 4.8038701E-006, 1.8499993E-002
 3.0000000E+001, 3.0348175E+002, 3.5618217E-005, 1.8499926E-002
 3.5000000E+001, 3.2807507E+002, 1.7550660E-004, 1.8499551E-002
 4.0000000E+001, 3.4902075E+002, 6.2559533E-004, 1.8498048E-002
 4.5010000E+001, 3.6606165E+002, 1.6684011E-003, 1.8493533E-002
 5.0010000E+001, 3.7875845E+002, 3.3783866E-003, 1.8483266E-002
 5.5010000E+001, 3.8736279E+002, 5.4066088E-003, 1.8465102E-002
 6.0010000E+001, 3.9146021E+002, 7.0712930E-003, 1.8439157E-002
 6.5010000E+001, 3.9542627E+002, 8.7662125E-003, 1.8406313E-002
 7.0010000E+001, 3.9827051E+002, 1.0124572E-002, 1.8367102E-002
 7.5000000E+001, 4.0035861E+002, 1.1208190E-002, 1.8322915E-002
 8.0000000E+001, 4.0198050E+002, 1.2092753E-002, 1.8274678E-002
 8.5000000E+001, 4.0328702E+002, 1.2830533E-002, 1.8223051E-002
 9.0000000E+001, 4.0395584E+002, 1.3415263E-002, 1.8168624E-002
 9.5000000E+001, 4.0209442E+002, 1.3671152E-002, 1.8112665E-002
 1.0000000E+002, 4.0338742E+002, 1.4299124E-002, 1.8054750E-002
 1.0500000E+002, 4.0449252E+002, 1.4816516E-002, 1.7994456E-002
 1.1000000E+002, 4.0542361E+002, 1.5245933E-002, 1.7932214E-002
 1.1500000E+002, 4.0574274E+002, 1.5558860E-002, 1.7868344E-002
 1.2000000E+002, 4.0396643E+002, 1.5618091E-002, 1.7803976E-002
 1.2500000E+002, 4.0506235E+002, 1.6086143E-002, 1.7738331E-002
 1.3000000E+002, 4.0599509E+002, 1.6454712E-002, 1.7670956E-002
 1.3500000E+002, 4.0678571E+002, 1.6758883E-002, 1.7602200E-002
 1.4000000E+002, 4.0549173E+002, 1.6771805E-002, 1.7532634E-002
 1.4500000E+002, 4.0548615E+002, 1.7045416E-002, 1.7462866E-002
 1.5000000E+002, 4.0644562E+002, 1.7405555E-002, 1.7391533E-002
 1.5500000E+002, 4.0725131E+002, 1.7687708E-002, 1.7318886E-002
 1.6001000E+002, 4.0659457E+002, 1.7746037E-002, 1.7245267E-002
 1.6501000E+002, 4.0594540E+002, 1.7896818E-002, 1.7171700E-002
 1.7001000E+002, 4.0691815E+002, 1.8260544E-002, 1.7096829E-002
 1.7501000E+002, 4.0773328E+002, 1.8538460E-002, 1.7020652E-002
 1.8001000E+002, 4.0711020E+002, 1.8589161E-002, 1.6943600E-002
 1.8501000E+002, 4.0650153E+002, 1.8743502E-002, 1.6866613E-002
 1.9001000E+002, 4.0746738E+002, 1.9106893E-002, 1.6788237E-002
 1.9501000E+002, 4.0827637E+002, 1.9384891E-002, 1.6708557E-002
 2.0001000E+002, 4.0721756E+002, 1.9379048E-002, 1.6628154E-002
 2.0501000E+002, 4.0717715E+002, 1.9640356E-002, 1.6547635E-002
 2.1001000E+002, 4.0811218E+002, 1.9992724E-002, 1.6465575E-002
 2.1501000E+002, 4.0889682E+002, 2.0270383E-002, 1.6382230E-002
 2.2001000E+002, 4.0704263E+002, 2.0183427E-002, 1.6298547E-002
 2.2501000E+002, 4.0796545E+002, 2.0608313E-002, 1.6214132E-002
 2.3001000E+002, 4.0884741E+002, 2.0942565E-002, 1.6128112E-002
 2.3501000E+002, 4.0842685E+002, 2.1043578E-002, 1.6041003E-002
 2.4001000E+002, 4.0786917E+002, 2.1245329E-002, 1.5953762E-002
 2.4501000E+002, 4.0884201E+002, 2.1653756E-002, 1.5864935E-002
