s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_GEOM,Q_ENTH,Q_TOTAL,BURN_RATE
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.4952863E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.4952863E-002, 2.2111320E-003
 1.0027452E+000, 1.9614776E+002,-6.7786068E+001,-1.0984911E+002,-3.9101244E+000, 2.5626959E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.7716240E+000, 1.4858723E+001, 1.1407185E-002
 2.0026050E+000, 6.0649480E+002,-1.9274281E+002,-3.8904854E+002,-4.3867947E+000, 6.2944173E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.7909693E+001, 2.0946098E+001, 1.9521881E-002
 3.0034716E+000, 8.2462865E+002,-2.5850707E+002,-5.2469889E+002,-2.0854313E+001, 6.5964558E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.8567138E+001, 2.1228026E+001, 2.1409461E-002
 4.0015759E+000, 1.2013631E+003,-3.8472799E+002,-7.3116351E+002,-6.4419541E+001, 6.9484453E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.9260477E+001, 2.1746892E+001, 2.1694657E-002
 5.0048079E+000, 9.9849740E+002,-3.2432195E+002,-5.8641047E+002,-8.9873125E+001, 6.9990922E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.2113453E+000,-1.4082363E+000, 2.1733639E-002
 6.0070672E+000, 1.0337087E+003,-3.3641048E+002,-5.8847600E+002,-9.3735619E+001, 7.0848207E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.3627402E+001, 1.5795058E+001, 2.1738931E-002
 7.0041261E+000, 9.6289730E+002,-3.1724085E+002,-5.3356012E+002,-1.0480622E+002, 6.8462142E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.3212576E+000, 7.9747355E+000, 2.1739642E-002
 8.0054770E+000, 9.5274256E+002,-3.1536714E+002,-5.1256474E+002,-1.1765565E+002, 6.8713427E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.5055090E+000, 7.8421679E+000, 2.1739738E-002
 9.0072193E+000, 1.0037997E+003,-3.3419541E+002,-5.2392507E+002,-1.3824788E+002, 6.8382118E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.8549825E+000, 8.1151130E+000, 2.1739751E-002
