s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_GEOM,Q_ENTH,Q_TOTAL,BURN_RATE
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.5881193E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.5881193E-002, 6.6333960E-004
 1.0005616E+000, 1.0830235E+002,-3.7389948E+001,-6.0263308E+001,-2.0624004E+000, 8.9042253E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.6633814E+000, 8.6757381E+000, 3.5097573E-003
 2.0115123E+000, 2.1185575E+002,-6.8483239E+001,-1.3621178E+002,-3.4892922E+000, 2.2610521E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.8198650E+000, 3.8975423E+000, 5.8851773E-003
 3.0035212E+000, 2.6574927E+002,-8.3897897E+001,-1.7164059E+002,-6.7023576E+000, 2.4810154E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.4607046E+000, 3.7565307E+000, 6.4247757E-003
 4.0017853E+000, 3.0860312E+002,-9.7570942E+001,-1.9416404E+002,-1.4887277E+001, 2.5244085E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.9344883E+000, 2.2333077E+000, 6.5084828E-003
 5.0040622E+000, 3.3015552E+002,-1.0429265E+002,-2.0438161E+002,-2.0993709E+001, 2.5543038E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.9630151E-001, 7.4298196E-001, 6.5201023E-003
 6.0065384E+000, 2.9725127E+002,-9.4614838E+001,-1.7833954E+002,-2.4207272E+001, 2.5443741E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.3902809E-001, 3.4405990E-001, 6.5216801E-003
 7.0053492E+000, 2.8933326E+002,-9.2386741E+001,-1.6975539E+002,-2.6091428E+001, 2.5183754E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1280301E+000, 1.3515417E+000, 6.5218927E-003
 8.0074043E+000, 3.0029560E+002,-9.6192173E+001,-1.7432156E+002,-2.7927773E+001, 2.5279206E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.8338293E+000, 2.1068870E+000, 6.5219214E-003
 9.0034828E+000, 3.0091178E+002,-9.6375812E+001,-1.7245794E+002,-3.1408622E+001, 2.5408900E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.6893627E-001, 9.2348664E-001, 6.5219252E-003
 1.0008891E+001, 2.8815569E+002,-9.2986923E+001,-1.5920455E+002,-3.4673019E+001, 2.5204418E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2521402E+000, 1.5432447E+000, 6.5219258E-003
 1.1004298E+001, 3.1658596E+002,-1.0229042E+002,-1.7456305E+002,-3.8389633E+001, 2.5420814E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.3623857E+000, 1.5970690E+000, 6.5219258E-003
 1.2005379E+001, 3.0367114E+002,-9.8679460E+001,-1.6245292E+002,-4.1572679E+001, 2.5387411E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.4584562E-001, 1.2199599E+000, 6.5219258E-003
 1.3001212E+001, 2.9359642E+002,-9.5660796E+001,-1.5419662E+002,-4.2757062E+001, 2.5255521E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.8838727E-001, 1.2344974E+000, 6.5219258E-003
 1.4008770E+001, 3.0010442E+002,-9.7892771E+001,-1.5617675E+002,-4.4755708E+001, 2.5339151E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2125266E+000, 1.5325758E+000, 6.5219258E-003
 1.5001331E+001, 2.8788760E+002,-9.4241845E+001,-1.4615233E+002,-4.6739911E+001, 2.5283683E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.6772116E-001, 1.0063428E+000, 6.5219258E-003
 1.6009468E+001, 2.9326397E+002,-9.6385194E+001,-1.4903775E+002,-4.7499774E+001, 2.5070252E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.8660759E-001, 5.9195585E-001, 6.5219258E-003
 1.7002764E+001, 3.1420053E+002,-1.0315755E+002,-1.6227428E+002,-4.6938755E+001, 2.3766317E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.7530660E+000, 2.0676068E+000, 6.5219258E-003
 1.8007761E+001, 2.9848396E+002,-9.8507190E+001,-1.5280066E+002,-4.6580827E+001, 2.1703918E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.7549489E-001, 8.1232335E-001, 6.5219258E-003
 1.9003199E+001, 2.9569216E+002,-9.7752984E+001,-1.4984854E+002,-4.7352897E+001, 2.1414989E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.6078899E-001, 9.5188424E-001, 6.5219258E-003
 2.0003965E+001, 2.9742601E+002,-9.8575991E+001,-1.5113792E+002,-4.7216781E+001, 2.0640141E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.5176825E-001, 7.0171945E-001, 6.5219258E-003
 2.1010052E+001, 3.0072929E+002,-9.9755978E+001,-1.5315951E+002,-4.6639511E+001, 2.0719880E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1575809E+000, 1.3814976E+000, 6.5219258E-003
 2.2006203E+001, 2.9887702E+002,-9.9047405E+001,-1.5286338E+002,-4.7033868E+001, 1.9538624E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.5555521E-003, 1.2775279E-001, 6.5219258E-003
 2.3011351E+001, 3.1021930E+002,-1.0301639E+002,-1.5882750E+002,-4.7183417E+001, 1.8966485E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0900607E+000, 1.3816618E+000, 6.5219258E-003
 2.4010824E+001, 2.9549787E+002,-9.8592661E+001,-1.4806040E+002,-4.7570466E+001, 1.9216572E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.4700810E+000, 1.4665084E+000, 6.5219258E-003
 2.5010506E+001, 3.0770121E+002,-1.0254563E+002,-1.5623795E+002,-4.8406711E+001, 2.2060119E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.8695802E-001, 7.3152277E-001, 6.5219258E-003
 2.6005585E+001, 2.9304828E+002,-9.8052224E+001,-1.4650078E+002,-4.7747201E+001, 2.1637561E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.1062428E-001, 9.6445661E-001, 6.5219258E-003
 2.7009066E+001, 3.0776852E+002,-1.0310278E+002,-1.5534349E+002,-4.8124121E+001, 2.0928106E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2642566E+000, 1.4074037E+000, 6.5219258E-003
 2.8007660E+001, 3.0774705E+002,-1.0306152E+002,-1.5492636E+002,-4.9291401E+001, 2.2737661E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.9712175E-001, 6.9514224E-001, 6.5219258E-003
 2.9006992E+001, 2.9547110E+002,-9.9684374E+001,-1.4443264E+002,-4.9841108E+001, 2.3344129E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.5342151E+000, 1.7464222E+000, 6.5219258E-003
 3.0010086E+001, 2.9642202E+002,-9.9989182E+001,-1.4558213E+002,-4.9994495E+001, 2.3157446E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.1888362E-001, 1.0877922E+000, 6.5219258E-003
 3.1002539E+001, 2.9015887E+002,-9.8292332E+001,-1.4082162E+002,-4.9694658E+001, 2.2360944E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2329417E+000, 1.5738621E+000, 6.5219258E-003
 3.2000557E+001, 3.0497657E+002,-1.0312533E+002,-1.4965035E+002,-5.0733388E+001, 2.3099003E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.3402085E+000, 1.6984839E+000, 6.5219258E-003
 3.3007896E+001, 3.0865798E+002,-1.0479084E+002,-1.5049914E+002,-5.2341219E+001, 2.3530319E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.9820831E-001, 1.2620851E+000, 6.5219258E-003
 3.4008163E+001, 2.9099556E+002,-9.9426522E+001,-1.3767185E+002,-5.2790250E+001, 2.3487533E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0085161E+000, 1.3418049E+000, 6.5219258E-003
 3.5004250E+001, 3.0031885E+002,-1.0236851E+002,-1.4318709E+002,-5.3855141E+001, 2.3805000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.0878863E-001, 1.1461560E+000, 6.5219258E-003
 3.6011417E+001, 3.0036110E+002,-1.0261263E+002,-1.4117315E+002,-5.4726089E+001, 2.3866432E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.6937176E+000, 2.0878913E+000, 6.5219258E-003
 3.7007446E+001, 3.0105214E+002,-1.0294142E+002,-1.4109444E+002,-5.5494080E+001, 2.3661310E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.3877698E+000, 1.7588154E+000, 6.5219258E-003
 3.8005604E+001, 2.9074740E+002,-9.9987607E+001,-1.3206643E+002,-5.7414130E+001, 2.3134709E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1890763E+000, 1.5105863E+000, 6.5219258E-003
 3.9009178E+001, 3.0710409E+002,-1.0532535E+002,-1.4059713E+002,-5.9867828E+001, 2.1114483E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.3428933E+000, 1.5249368E+000, 6.5219258E-003
 4.0001183E+001, 2.9083631E+002,-1.0103439E+002,-1.2794270E+002,-6.0687796E+001, 2.0198828E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1582078E+000, 1.3734094E+000, 6.5219258E-003
 4.1008759E+001, 3.0476520E+002,-1.0527122E+002,-1.3713993E+002,-6.1202908E+001, 2.1036543E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1036079E+000, 1.3615104E+000, 6.5219258E-003
 4.2004257E+001, 3.0309721E+002,-1.0525117E+002,-1.3347094E+002,-6.2949527E+001, 2.0552410E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.4557580E+000, 1.6310902E+000, 6.5219258E-003
 4.3007042E+001, 3.0275837E+002,-1.0571806E+002,-1.3093869E+002,-6.4379910E+001, 1.8491142E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.8276564E+000, 1.9066355E+000, 6.5219258E-003
 4.4000969E+001, 3.1094263E+002,-1.0831832E+002,-1.3700348E+002,-6.5102382E+001, 1.6605730E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.3774175E-001, 6.8450854E-001, 6.5219258E-003
 4.5005852E+001, 2.8907732E+002,-1.0208198E+002,-1.2009038E+002,-6.6084795E+001, 1.2711451E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1089282E+000, 9.4727352E-001, 6.5219258E-003
 4.6004528E+001, 3.0161914E+002,-1.0645346E+002,-1.2803252E+002,-6.7046793E+001, 1.1607959E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.6583417E-001, 2.0245105E-001, 6.5219258E-003
 4.7004944E+001, 3.0673413E+002,-1.0814395E+002,-1.3157567E+002,-6.5637366E+001, 1.2187655E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.4927793E+000, 1.4990197E+000, 6.5219258E-003
 4.8007679E+001, 2.8924088E+002,-1.0296641E+002,-1.2109755E+002,-6.5129018E+001, 1.1515145E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.8182512E-002, 1.6304990E-001, 6.5219258E-003
 4.9006508E+001, 3.0669475E+002,-1.0842307E+002,-1.3304569E+002,-6.4175252E+001, 1.4826259E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.6645910E-001, 1.1990104E+000, 6.5219258E-003
 5.0010742E+001, 3.0368447E+002,-1.0767667E+002,-1.3106802E+002,-6.3652162E+001, 1.8617056E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1844575E+000, 1.4737897E+000, 6.5219258E-003
 5.1005615E+001, 2.8783294E+002,-1.0304807E+002,-1.2032567E+002,-6.3974487E+001, 1.9608989E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.6783209E-001, 6.8080186E-001, 6.5219258E-003
 5.2011097E+001, 3.0255195E+002,-1.0786109E+002,-1.2920558E+002,-6.3695331E+001, 1.8687682E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.7425930E+000, 1.9768241E+000, 6.5219258E-003
 5.3006195E+001, 3.0525562E+002,-1.0865820E+002,-1.3048875E+002,-6.5146477E+001, 1.7766408E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.2376957E-001, 1.1398524E+000, 6.5219258E-003
 5.4006943E+001, 2.9452986E+002,-1.0530000E+002,-1.2251894E+002,-6.5901496E+001, 1.4896081E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.1212841E-001, 9.5838271E-001, 6.5219258E-003
 5.5009205E+001, 3.1010088E+002,-1.1078560E+002,-1.3057094E+002,-6.7593243E+001, 8.6674721E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2501746E+000, 1.2377807E+000, 6.5219258E-003
 5.6010277E+001, 2.8290844E+002,-1.0238310E+002,-1.1203593E+002,-6.7637776E+001, 9.8889584E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0825111E+000, 9.5052758E-001, 6.5219258E-003
